# ----------------------------------------
# Resumo dos relatórios
# Conta: ROI Labs
# Propriedade: Sirius
# ----------------------------------------
#  
# Data de início: 20260101
# Data de término: 20260327
Nº dia,Usuários ativos
Melhores práticas de gestão de vendas - Central de Ajuda | Sirius CRM,1
Negócios Perdidos – Analytics | Sirius CRM,1
Planos | Sirius CRM,1
Página não encontrada | Sirius CRM,1
Round Robin | Sirius CRM,1
Solicitar Proposta Comercial | Sirius CRM,1
Visitas & Check-ins | Sirius CRM,1

#  
# Data de início: 20260101
# Data de término: 20260327
Nome do evento,Contagem de eventos
page_view,5946
All Pages,4150
session_start,3260
sign_up,3187
first_visit,2826
form_start,1866
scroll,1129
user_engagement,1049
login,398
view_billing_page,142
view_pricing_page,58
create_deal,34
click,23
file_download,7
create_contact,6

# Quais são os eventos principais com melhor performance?
# Data de início: 20260101
# Data de término: 20260327
Nome do evento,Eventos principais
sign_up,3187

# Qual é a origem do seu valor médio de 120 dias?
# Data de início: 20260101
# Data de término: 20260327
Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão),Valor médio de 120 dias


#  
# Data de início: 20260101
# Data de término: 20260327
Nome do item,Itens comprados


# Quais são as diferenças entre as atividades nas suas plataformas?
# Data de início: 20260101
# Data de término: 20260327
Plataforma,Eventos principais
web,3187
